User,Rating,Artist,Track,Time
47994,9,40,179,17
8575,58,9,23,7
45475,13,46,168,16
39508,42,11,153,15
11565,54,14,32,19
27130,37,31,79,11
19623,69,21,48,21
47505,28,2,174,17
15290,12,12,34,8
24151,70,28,73,22
40578,32,0,151,15
24681,38,2,68,22
26346,20,33,85,11
35096,33,16,135,12
32782,32,22,129,0
11451,5,15,33,19
44660,31,46,166,16
25922,10,31,80,11
23953,18,26,63,22
4515,48,3,10,18
6078,33,9,23,7
32078,46,39,106,23
42274,54,41,156,16
1205,57,0,0,6
41883,32,44,162,16
46134,3,47,171,4
32463,70,22,112,0
24886,42,30,78,22
28123,28,34,86,23
28264,7,35,89,23
19042,39,21,49,21
31485,56,37,98,23
35459,53,10,143,12
29555,17,14,95,23
34101,10,10,143,12
22725,48,28,72,22
50886,49,40,176,17
42644,47,44,162,16
50233,10,2,174,17
6314,14,6,14,7
37978,52,4,11,13
21356,22,21,60,22
19715,43,21,51,21
23470,29,26,67,22
43454,25,46,168,16
23298,4,27,71,22
5993,30,6,16,7
32155,92,39,104,23
48762,92,49,182,17
4447,51,4,12,18
35040,20,16,136,12
24066,36,26,66,22
8588,45,9,23,7
33184,48,22,125,0
734,32,0,2,6
21680,44,21,60,22
20531,69,22,55,21
44297,18,46,168,16
49461,49,2,175,17
20003,28,21,49,21
41286,4,41,156,16
39766,49,0,150,15
21950,30,30,76,22
35090,36,16,137,12
7954,48,10,25,7
16967,11,15,42,9
32495,14,22,128,0
48405,9,48,172,17
49325,50,2,175,17
19113,44,20,44,21
18533,33,20,45,21
2691,19,1,4,18
29841,50,35,90,23
19617,40,21,50,21
19442,50,21,51,21
38626,90,0,1,15
20789,27,23,57,21
24697,62,29,75,22
6388,7,6,14,7
24620,39,30,77,22
39802,13,11,153,15
1837,25,1,4,18
27432,30,31,79,11
24881,39,2,70,22
39564,42,11,154,15
44680,55,45,164,16
23931,51,28,72,22
5427,89,4,11,18
31509,29,36,93,23
22355,49,26,65,22
6944,49,6,16,7
3802,51,2,7,18
45871,50,47,170,4
33822,32,16,134,12
20149,51,21,48,21
50441,43,40,180,17
43609,46,46,168,16
31316,2,37,101,23
17662,50,20,44,21
32776,30,22,55,0
35913,51,10,145,12
7677,12,11,28,7
32219,8,22,127,0
36202,29,40,146,13
41362,28,42,157,16
32280,14,22,130,0
42371,10,44,162,16
44193,82,45,163,16
23492,11,26,63,22
14977,46,16,35,8
2032,29,1,4,18
43984,57,45,163,16
38980,73,11,152,15
28316,48,34,86,23
22228,26,30,77,22
38517,52,11,152,15
19717,2,24,58,21
2456,37,1,5,18
44535,40,45,163,16
19703,23,21,50,21
40744,48,0,151,15
29418,51,37,100,23
22726,70,26,66,22
28299,31,37,97,23
8675,50,7,19,7
12233,10,13,31,19
6794,49,6,15,7
41761,7,42,158,16
1652,30,0,1,6
20779,52,22,54,21
44078,2,46,165,16
34627,26,10,143,12
11971,17,15,33,19
23858,48,28,72,22
33925,31,16,138,12
33075,56,22,118,0
